Response time percentiles [ms]: 
Clean size:28878000
88 wordCount:0.009321302
89 cleaning:0.003484528
89 serializing:0.81108
89 receiving:10.258111
89 wordCount:0.009592191
90 cleaning:0.003614878
90 serializing:0.932414
90 receiving:10.633798
90 wordCount:0.009888926
91 cleaning:0.003718048
91 serializing:1.028288
91 receiving:11.025224
91 wordCount:0.010307184
92 cleaning:0.003946146
92 serializing:1.165037
92 receiving:11.520348
92 wordCount:0.010740724
93 cleaning:0.00413911
93 serializing:1.258353
93 receiving:12.16863
93 wordCount:0.011409514
94 cleaning:0.004444197
94 serializing:1.321467
94 receiving:12.771106
94 wordCount:0.012019494
95 cleaning:0.004701678
95 serializing:1.396619
95 receiving:13.539035
95 wordCount:0.012725082
96 cleaning:0.005126702
96 serializing:1.495941
96 receiving:14.536291
96 wordCount:0.013691564
97 cleaning:0.005430997
97 serializing:1.765951
97 receiving:16.353415
97 wordCount:0.015229262
98 cleaning:0.006571138
98 serializing:1.991516
98 receiving:19.229006
98 wordCount:0.01783936
99 cleaning:0.008023447
99 serializing:2.583629
99 receiving:22.66579
99 wordCount:0.0213397
100 cleaning:0.17111184
100 serializing:62.60989
100 receiving:219.17542
100 wordCount:0.21879873
Receiving times: 1.92283424E8 with average:6.6584744
Serializing sum: 1.1707814E7 with average:0.40542328
WordCount sum: 177655.5 with average:0.0061519323
Cleantime Sum: 70116.87 with average:0.0024280376
