Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
80 wordCount:0.004102944
81 cleaning:0.001210249
81 serializing:0.660759
81 receiving:4.542876
81 wordCount:0.004132452
82 cleaning:0.001215842
82 serializing:0.698523
82 receiving:4.567911
82 wordCount:0.004173644
83 cleaning:0.00122343
83 serializing:0.743859
83 receiving:4.601529
83 wordCount:0.004201155
84 cleaning:0.001232232
84 serializing:0.76057
84 receiving:4.66163
84 wordCount:0.004247922
85 cleaning:0.001244242
85 serializing:0.769225
85 receiving:4.730063
85 wordCount:0.00430214
86 cleaning:0.001275287
86 serializing:0.782844
86 receiving:4.750113
86 wordCount:0.004351209
87 cleaning:0.001329941
87 serializing:0.803639
87 receiving:4.789951
87 wordCount:0.004367251
88 cleaning:0.001334958
88 serializing:0.828071
88 receiving:4.830598
88 wordCount:0.004405104
89 cleaning:0.001338773
89 serializing:0.877853
89 receiving:4.901099
89 wordCount:0.004461952
90 cleaning:0.001349787
90 serializing:0.898741
90 receiving:5.085478
90 wordCount:0.004595585
91 cleaning:0.001366502
91 serializing:0.909064
91 receiving:5.335563
91 wordCount:0.004823006
92 cleaning:0.001382789
92 serializing:0.932888
92 receiving:5.465359
92 wordCount:0.005095174
93 cleaning:0.00152784
93 serializing:0.968824
93 receiving:5.730709
93 wordCount:0.005268324
94 cleaning:0.001610138
94 serializing:1.167963
94 receiving:5.875392
94 wordCount:0.005551795
95 cleaning:0.001661962
95 serializing:1.182022
95 receiving:5.986538
95 wordCount:0.005618583
96 cleaning:0.001727372
96 serializing:1.214399
96 receiving:6.227658
96 wordCount:0.005674523
97 cleaning:0.001764869
97 serializing:1.385466
97 receiving:6.481053
97 wordCount:0.005818221
98 cleaning:0.00179733
98 serializing:1.62377
98 receiving:7.111218
98 wordCount:0.006277897
99 cleaning:0.001868727
99 serializing:1.970112
99 receiving:8.49913
99 wordCount:0.00786628
100 cleaning:0.004885356
100 serializing:7.625566
100 receiving:19.146082
100 wordCount:0.01806776
Receiving times: 8414297.0 with average:4.2071486
Serializing sum: 1309161.9 with average:0.65458095
WordCount sum: 7793.1655 with average:0.0038965829
Cleantime Sum: 2388.1843 with average:0.0011940922
Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:0
